id,country,country_pinyin,pages,text_file,pdf_file,source_path,bytes
guide_001.pdf,阿尔及利亚,aerjiliya,7,guide_001.txt,references\pdfs\guide_001.pdf,E:\工作\01-项目管理\优品库项目\国别贸易指南\25年国别贸易指南\阿尔及利亚.pdf,615599
guide_002.pdf,阿根廷,agenting,8,guide_002.txt,references\pdfs\guide_002.pdf,E:\工作\01-项目管理\优品库项目\国别贸易指南\25年国别贸易指南\阿根廷.pdf,666326
guide_003.pdf,阿联酋,alianqiu,9,guide_003.txt,references\pdfs\guide_003.pdf,E:\工作\01-项目管理\优品库项目\国别贸易指南\25年国别贸易指南\阿联酋.pdf,653713
guide_004.pdf,埃及,aiji,11,guide_004.txt,references\pdfs\guide_004.pdf,E:\工作\01-项目管理\优品库项目\国别贸易指南\25年国别贸易指南\埃及.pdf,738739
guide_005.pdf,澳大利亚,aodaliya,9,guide_005.txt,references\pdfs\guide_005.pdf,E:\工作\01-项目管理\优品库项目\国别贸易指南\25年国别贸易指南\澳大利亚.pdf,641839
guide_006.pdf,巴基斯坦,bajisitan,11,guide_006.txt,references\pdfs\guide_006.pdf,E:\工作\01-项目管理\优品库项目\国别贸易指南\25年国别贸易指南\巴基斯坦.pdf,684121
guide_007.pdf,巴拿马,banama,9,guide_007.txt,references\pdfs\guide_007.pdf,E:\工作\01-项目管理\优品库项目\国别贸易指南\25年国别贸易指南\巴拿马.pdf,716869
guide_008.pdf,巴西,baxi,11,guide_008.txt,references\pdfs\guide_008.pdf,E:\工作\01-项目管理\优品库项目\国别贸易指南\25年国别贸易指南\巴西.pdf,705573
guide_009.pdf,比利时,bilishi,8,guide_009.txt,references\pdfs\guide_009.pdf,E:\工作\01-项目管理\优品库项目\国别贸易指南\25年国别贸易指南\比利时.pdf,621679
guide_010.pdf,波兰,bolan,11,guide_010.txt,references\pdfs\guide_010.pdf,E:\工作\01-项目管理\优品库项目\国别贸易指南\25年国别贸易指南\波兰.pdf,752908
guide_011.pdf,德国,deguo,11,guide_011.txt,references\pdfs\guide_011.pdf,E:\工作\01-项目管理\优品库项目\国别贸易指南\25年国别贸易指南\德国.pdf,777425
guide_012.pdf,俄罗斯,eluosi,10,guide_012.txt,references\pdfs\guide_012.pdf,E:\工作\01-项目管理\优品库项目\国别贸易指南\25年国别贸易指南\俄罗斯.pdf,661048
